label,coef,se,pval,ci_lower,ci_upper,n_obs,n_companies,significant,category
Baseline (Day 180),0.4545343394313684,0.12889848571580073,0.0004225993928452798,0.20189330742839895,0.7071753714343378,17802,71,True,baseline
Day 90,-0.22531789055193144,0.10352985328601333,0.029543251412503357,-0.42823640299251753,-0.02239937811134532,17802,71,True,windows
Day 150,0.3311633440968206,0.12725696406854684,0.009268120617368814,0.08173969452246879,0.5805869936711724,17802,71,True,windows
Day 180,0.4545343394313684,0.12889848571580073,0.0004225993928452798,0.20189330742839895,0.7071753714343378,17802,71,True,windows
Day 210,0.3783592215858991,0.11882026599688263,0.0014538466547100448,0.14547150023200914,0.611246942939789,17802,71,True,windows
Day 270,0.09748694823161706,0.1275135588331924,0.4445674387882841,-0.15243962708144004,0.34741352354467414,17802,71,False,windows
Day 60,-0.4078205626395094,0.12005588663415187,0.000683149650842152,-0.643130100442447,-0.1725110248365717,17802,71,True,placebos
Day 90,-0.22531789055193144,0.10352985328601333,0.029543251412503357,-0.42823640299251753,-0.02239937811134532,17802,71,True,placebos
Day 120,0.011070130559425418,0.1259195634604008,0.9299458951118698,-0.2357322138229602,0.25787247494181104,17802,71,False,placebos
Day 180,0.4545343394313684,0.12889848571580073,0.0004225993928452798,0.20189330742839895,0.7071753714343378,17802,71,True,placebos
Day 240,0.24399480235407595,0.11190828073421967,0.029249048893591034,0.024654572115005408,0.46333503259314646,17802,71,True,placebos
Day 270,0.09748694823161706,0.1275135588331924,0.4445674387882841,-0.15243962708144004,0.34741352354467414,17802,71,False,placebos
Day 300,-0.1044655612826035,0.11059728309164805,0.34489885720065505,-0.3212362361422337,0.1123051135770267,17802,71,False,placebos
